frame_idx,filename,x,y,z,az,pitch,roll,bearing,elevation,reproj_err_px
6,frame_000006.jpg,-0.238499,-1.581701,4.128036,176.480,9.086,-13.235,-3.307,20.965,0.095
10,frame_000010.jpg,-0.226949,-1.563039,4.081444,178.825,3.072,-32.644,-3.183,20.955,0.071
12,frame_000012.jpg,-0.228974,-1.591606,4.152978,179.734,6.175,-5.254,-3.156,20.969,0.048
15,frame_000015.jpg,-0.228963,-1.584174,4.152804,179.729,6.216,-5.277,-3.156,20.880,0.048
23,frame_000023.jpg,-0.256071,-1.556113,4.082229,178.443,4.085,-32.368,-3.589,20.866,0.074
30,frame_000030.jpg,-0.342685,-1.577041,4.071005,-177.755,-0.430,-33.749,-4.812,21.176,0.063
37,frame_000037.jpg,-0.347049,-1.565187,4.019040,179.981,5.266,-5.608,-4.935,21.278,0.048
38,frame_000038.jpg,-0.339818,-1.557787,4.018333,179.964,5.331,-5.606,-4.834,21.190,0.049
45,frame_000045.jpg,-0.263234,-1.425390,4.080478,178.505,4.280,-27.659,-3.691,19.255,0.098
50,frame_000050.jpg,-0.214756,-1.334639,3.949376,-177.810,-6.496,-12.780,-3.113,18.672,0.090
51,frame_000051.jpg,-0.205002,-1.323307,3.939125,-179.187,3.557,-34.713,-2.979,18.569,0.054
54,frame_000054.jpg,-0.179548,-1.313566,3.949266,-177.736,-6.833,-13.416,-2.603,18.398,0.094
55,frame_000055.jpg,-0.179548,-1.313566,3.949266,-177.736,-6.833,-13.416,-2.603,18.398,0.094
57,frame_000057.jpg,-0.168824,-1.315753,3.945277,-175.778,-6.623,-13.260,-2.450,18.444,0.093
58,frame_000058.jpg,-0.160475,-1.299759,3.889160,176.451,10.472,-30.187,-2.363,18.480,0.099
60,frame_000060.jpg,-0.155630,-1.317625,3.931721,-178.380,1.190,-26.144,-2.267,18.527,0.092
61,frame_000061.jpg,-0.155630,-1.317625,3.931721,-178.380,1.190,-26.144,-2.267,18.527,0.092
63,frame_000063.jpg,-0.155639,-1.324690,3.932031,-178.411,1.274,-26.414,-2.267,18.619,0.091
66,frame_000066.jpg,-0.150143,-1.304087,3.829027,-178.122,-5.562,-13.386,-2.246,18.808,0.097
69,frame_000069.jpg,-0.153815,-1.304037,3.801117,-178.714,1.922,-27.793,-2.317,18.935,0.073
71,frame_000071.jpg,-0.153820,-1.310825,3.801288,-178.735,1.972,-28.056,-2.317,19.026,0.071
72,frame_000072.jpg,-0.153824,-1.317611,3.801451,-178.756,2.020,-28.317,-2.317,19.117,0.070
81,frame_000081.jpg,-0.178342,-1.298021,3.679443,-179.355,3.508,-29.509,-2.775,19.432,0.058
86,frame_000086.jpg,-0.236067,-1.273848,3.601625,-175.484,-7.440,-26.550,-3.750,19.478,0.083
88,frame_000088.jpg,-0.262007,-1.275187,3.605339,-175.661,-6.945,-25.977,-4.156,19.478,0.083
91,frame_000091.jpg,-0.295867,-1.253068,3.552452,-179.550,-1.272,-30.965,-4.761,19.429,0.025
92,frame_000092.jpg,-0.308725,-1.253914,3.554825,-179.690,-0.873,-30.773,-4.964,19.430,0.025
93,frame_000093.jpg,-0.317257,-1.240085,3.506192,-177.951,-5.714,-24.853,-5.170,19.478,0.081
95,frame_000095.jpg,-0.342569,-1.241280,3.509483,-178.110,-5.257,-24.208,-5.575,19.478,0.082
97,frame_000097.jpg,-0.393428,-1.250202,3.516904,-178.429,-4.318,-22.947,-6.383,19.569,0.086
103,frame_000103.jpg,-0.416835,-1.239269,3.426377,-179.029,-2.578,-21.947,-6.936,19.884,0.078
104,frame_000104.jpg,-0.416835,-1.239269,3.426377,-179.029,-2.578,-21.947,-6.936,19.884,0.078
105,frame_000105.jpg,-0.413831,-1.242432,3.426634,-177.381,-2.302,-21.369,-6.886,19.930,0.080
121,frame_000121.jpg,-0.284491,-1.119048,3.349423,178.734,8.942,-28.199,-4.855,18.475,0.091
136,frame_000136.jpg,-0.292259,-0.992853,3.150489,175.923,20.035,-18.797,-5.300,17.492,0.096
140,frame_000140.jpg,-0.251601,-1.005737,3.161523,179.025,8.214,-26.458,-4.550,17.647,0.092
145,frame_000145.jpg,-0.207820,-1.000604,3.064109,176.306,18.104,-24.103,-3.880,18.085,0.056
156,frame_000156.jpg,-0.257867,-0.996484,2.966915,-176.041,-2.775,-22.102,-4.967,18.565,0.024
172,frame_000172.jpg,-0.428857,-0.869943,2.728103,-178.501,4.012,-24.512,-8.934,17.687,0.098
178,frame_000178.jpg,-0.432059,-0.866813,2.662144,176.136,13.722,-20.481,-9.219,18.036,0.059
179,frame_000179.jpg,-0.434231,-0.868780,2.661080,177.214,14.615,-20.930,-9.268,18.081,0.042
180,frame_000180.jpg,-0.436907,-0.871715,2.662797,176.082,13.814,-21.001,-9.318,18.127,0.061
187,frame_000187.jpg,-0.384393,-0.851338,2.575054,-179.813,-0.489,-13.964,-8.490,18.294,0.048
188,frame_000188.jpg,-0.377323,-0.848589,2.573632,-178.476,-0.584,-13.925,-8.341,18.249,0.048
198,frame_000198.jpg,-0.292298,-0.745449,2.465079,177.754,13.626,-22.903,-6.762,16.826,0.099
200,frame_000200.jpg,-0.283040,-0.736460,2.451786,-177.006,-1.662,-15.819,-6.585,16.719,0.018
206,frame_000206.jpg,-0.252446,-0.717785,2.388473,-177.643,-3.630,-10.460,-6.033,16.727,0.097
207,frame_000207.jpg,-0.251739,-0.721926,2.403820,-178.390,-1.357,-16.861,-5.978,16.716,0.037
208,frame_000208.jpg,-0.251842,-0.726522,2.404925,-178.442,-1.177,-16.874,-5.978,16.809,0.035
