frame,filename,x,y,z,yaw,pitch,roll,bearing,elevation,reproj_err_px
0,000006.png,-0.238499,-1.581701,4.128036,-3.307,20.933,0.000,-3.307,20.965,0.095
1,000010.png,-0.226949,-1.563039,4.081444,-3.183,20.925,0.000,-3.183,20.955,0.071
2,000012.png,-0.228974,-1.591606,4.152978,-3.156,20.940,0.000,-3.156,20.969,0.048
3,000015.png,-0.228963,-1.584174,4.152804,-3.156,20.851,0.000,-3.156,20.880,0.048
4,000023.png,-0.256071,-1.556113,4.082229,-3.589,20.829,0.000,-3.589,20.866,0.074
5,000030.png,-0.342685,-1.577041,4.071005,-4.812,21.108,0.000,-4.812,21.176,0.063
6,000038.png,-0.339818,-1.557787,4.018333,-4.834,21.121,0.000,-4.834,21.190,0.049
7,000045.png,-0.263234,-1.425390,4.080478,-3.691,19.218,0.000,-3.691,19.255,0.098
8,000050.png,-0.214756,-1.334639,3.949376,-3.113,18.646,0.000,-3.113,18.672,0.090
9,000051.png,-0.205002,-1.323307,3.939125,-2.979,18.546,0.000,-2.979,18.569,0.054
10,000054.png,-0.179548,-1.313566,3.949266,-2.603,18.380,0.000,-2.603,18.398,0.094
11,000055.png,-0.179548,-1.313566,3.949266,-2.603,18.380,0.000,-2.603,18.398,0.094
12,000057.png,-0.168824,-1.315753,3.945277,-2.450,18.428,0.000,-2.450,18.444,0.093
13,000060.png,-0.155630,-1.317625,3.931721,-2.267,18.514,0.000,-2.267,18.527,0.092
14,000063.png,-0.155639,-1.324690,3.932031,-2.267,18.605,0.000,-2.267,18.619,0.091
15,000066.png,-0.150143,-1.304087,3.829027,-2.246,18.794,0.000,-2.246,18.808,0.097
16,000069.png,-0.153815,-1.304037,3.801117,-2.317,18.921,0.000,-2.317,18.935,0.073
17,000071.png,-0.153820,-1.310825,3.801288,-2.317,19.012,0.000,-2.317,19.026,0.071
18,000072.png,-0.153824,-1.317611,3.801451,-2.317,19.102,0.000,-2.317,19.117,0.070
19,000081.png,-0.178342,-1.298021,3.679443,-2.775,19.411,0.000,-2.775,19.432,0.058
20,000086.png,-0.236067,-1.273848,3.601625,-3.750,19.439,0.000,-3.750,19.478,0.083
21,000088.png,-0.262007,-1.275187,3.605339,-4.156,19.431,0.000,-4.156,19.478,0.083
22,000092.png,-0.308725,-1.253914,3.554825,-4.964,19.362,0.000,-4.964,19.430,0.025
23,000095.png,-0.342569,-1.241280,3.509483,-5.575,19.393,0.000,-5.575,19.478,0.082
24,000097.png,-0.393428,-1.250202,3.516904,-6.383,19.457,0.000,-6.383,19.569,0.086
25,000103.png,-0.416835,-1.239269,3.426377,-6.936,19.750,0.000,-6.936,19.884,0.078
26,000104.png,-0.416835,-1.239269,3.426377,-6.936,19.750,0.000,-6.936,19.884,0.078
27,000105.png,-0.413831,-1.242432,3.426634,-6.886,19.797,0.000,-6.886,19.930,0.080
28,000106.png,-0.413831,-1.242432,3.426634,-6.886,19.797,0.000,-6.886,19.930,0.080
29,000119.png,-0.275693,-1.141633,3.346180,-4.710,18.779,0.000,-4.710,18.838,0.008
30,000121.png,-0.284491,-1.119048,3.349423,-4.855,18.413,0.000,-4.855,18.475,0.091
31,000136.png,-0.292259,-0.992853,3.150489,-5.300,17.422,0.000,-5.300,17.492,0.096
32,000140.png,-0.251601,-1.005737,3.161523,-4.550,17.595,0.000,-4.550,17.647,0.092
33,000145.png,-0.207820,-1.000604,3.064109,-3.880,18.046,0.000,-3.880,18.085,0.056
34,000156.png,-0.257867,-0.996484,2.966915,-4.967,18.500,0.000,-4.967,18.565,0.024
35,000172.png,-0.428857,-0.869943,2.728103,-8.934,17.485,0.000,-8.934,17.687,0.098
36,000178.png,-0.432059,-0.866813,2.662144,-9.219,17.817,0.000,-9.219,18.036,0.059
37,000179.png,-0.434231,-0.868780,2.661080,-9.268,17.860,0.000,-9.268,18.081,0.042
38,000180.png,-0.436907,-0.871715,2.662797,-9.318,17.903,0.000,-9.318,18.127,0.061
39,000187.png,-0.384393,-0.851338,2.575054,-8.490,18.107,0.000,-8.490,18.294,0.048
40,000188.png,-0.377323,-0.848589,2.573632,-8.341,18.068,0.000,-8.341,18.249,0.048
41,000198.png,-0.292298,-0.745449,2.465079,-6.762,16.715,0.000,-6.762,16.826,0.099
42,000200.png,-0.283040,-0.736460,2.451786,-6.585,16.615,0.000,-6.585,16.719,0.018
43,000206.png,-0.252446,-0.717785,2.388473,-6.033,16.639,0.000,-6.033,16.727,0.097
44,000207.png,-0.251739,-0.721926,2.403820,-5.978,16.630,0.000,-5.978,16.716,0.037
45,000208.png,-0.251842,-0.726522,2.404925,-5.978,16.723,0.000,-5.978,16.809,0.035
